"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 30/10/2018";
"Período Solicitado de 01/09/2018 até 30/10/2018";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Qualidade";"Origem";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;11;0,444;1.066,319;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;12;3,289;985,180;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;13;0,000;1.466,702;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;14;0,000;1.566,019;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;15;0,000;1.611,005;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;16;0,000;1.611,417;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;17;0,000;1.611,758;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;18;0,000;1.611,763;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;19;0,000;1.611,290;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;20;0,000;1.546,606;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;21;0,000;1.285,769;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;22;0,130;1.003,146;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;23;0,000;1.122,156;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";08/09/2018;24;0,000;1.127,277;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;1;0,000;1.126,688;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;2;0,000;1.122,233;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;3;0,000;1.124,362;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;4;0,000;1.127,320;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;5;0,000;1.123,233;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;6;0,000;1.118,626;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;7;0,000;1.126,905;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;8;0,000;1.125,081;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;9;0,000;1.121,468;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;10;0,000;1.117,723;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;11;0,000;1.125,595;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;12;0,000;1.124,203;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;13;0,000;1.119,659;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;14;0,000;1.114,613;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;15;0,000;1.121,893;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;16;0,000;1.117,173;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;17;0,000;1.113,013;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;18;0,000;1.116,596;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;19;0,000;1.097,120;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;20;0,000;1.081,875;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;21;0,000;1.081,980;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;22;0,000;1.075,152;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";09/09/2018;23;0,000;1.075,476;"Completo";"COLETA DIÁRIA";
